etykieta_oryginalna;etykieta_przezn;count;grupa_glowna
S3W2;S3W2;58;W
1WS;1WS;48;W
WW2;WW2;48;W
1W-K;1W-K;46;W
WS.01;WS.01;16;W
1W;1W;16;W
1WP;1WP;14;W
ZC1;ZC1;574;C
1RP;1RP;492;R
NOp1;NOp1;280;IK
NOp2;NOp2;150;IK
1NO;1NO;144;IK
S4NO;S4NO;72;IK
S1NO1;S1NO1;64;IK
NOp;NOp;36;IK
NOp3;NOp3;28;IK
S1NO2;S1NO2;28;IK
2NO;2NO;22;IK
